symbol,price,trailingPE,forwardPE,pegRatio,priceToSales,priceToBook,enterpriseToEbitda,enterpriseToRevenue,priceToCash,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,totalCashPerShare,bookValue,totalDebt,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,trailingEps,forwardEps,epsCurrentYear,dividendRate,dividendYield,payoutRatio,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,sharesOutstanding,floatShares,beta,rsi_14,sma20_dist,sma50_dist,sma200_dist,avgVolume,fiftyTwoWeekHigh,fiftyTwoWeekLow,perf_week,perf_month,perf_quarter,perf_half_y,perf_ytd,perf_3y,perf_5y,perf_10y,fullTimeEmployees,recommendationMean,target_52WeekChange
AR,31.78,16.814816,8.7391,0.2717,1.957854,1.334173,,,,0.11788999,0.67002,0.111999996,0.03253,0.08578,,23.82,3570248960.0,47.492,0.309,0.284,0.134,,1.89,3.63653,1.80894,,,0.0,0.06583,0.87728,2.45,0.0424,308510105.0,291394178.0,0.507,39.72903990395944,-0.04704789501425643,-0.07308024360081203,-0.08957567007001489,5192041.0,44.02,29.1,-0.012430090161044675,-0.043635256160426183,0.03215326583421446,-0.12764206056059607,-0.07103183716761895,0.05546327983382063,3.377410330315467,0.5213021028496465,616.0,1.80952,-0.21271878
APA,26.01,6.2224884,9.645444,,0.9925369,1.550799,2.483,1.544,19.424943988050785,0.16093999,0.66542,0.27281,0.099259995,0.27427998,1.339,16.772,4591000064.0,66.895,0.775,0.585,-0.164,,4.18,2.69661,3.57634,1.0,3.75,0.2392,0.00435,0.99334,6.33,0.105500005,354669251.0,352456115.0,0.743,56.757006914597554,0.05214190348231859,0.05330082854805668,0.2324327397818485,6419835.0,27.72,13.58,0.02522661173021632,0.0855593069223385,0.14353044172156348,0.41504913545609085,0.025630890142136643,-0.35698467059301825,0.7195968848415433,-0.033667411195138205,2305.0,2.89655,0.061232567
APAD,10.02,200.40001,,,,1.4043448,,,189.0566037735849,0.0,0.0,0.0,-0.0016300001,0.01429,0.053,7.135,357922.0,0.184,3.483,3.1,,,0.05,,,,,0.0,0.0,0.72975,0.1,,20600000.0,12933398.0,,44.8143878602275,-0.0021162836531159693,-0.0013853038200499887,0.0041832953206861635,98793.0,10.21,9.87,0.0009989781108407285,-0.0029850935488061987,0.007744157845522747,0.012121251120567321,-0.0029850935488061987,0.012121251120567321,0.012121251120567321,0.012121251120567321,,,0.012121201
APADU,10.28,,,,,1.4407848,,,193.96226415094338,0.0,0.0,0.0,-0.0016300001,0.01429,0.053,7.135,357922.0,0.184,3.483,3.1,,,,,,,,,0.0,0.35141,3.06,,,12933398.0,,52.87186640786109,0.0007544427356750948,0.0007203629071509394,0.01237909185065354,1182.0,11.0,9.98,-0.0019417660548059648,0.0009736652181712678,0.017821743735823473,0.026973003490962325,0.0009736652181712678,0.026973003490962325,0.026973003490962325,0.026973003490962325,,,0.028971076
APG,42.54,118.166664,25.509104,,2.3958445,5.400533,22.65,2.61,31.889055472263866,0.03553,0.31143,0.08969,0.04119,0.087139994,1.334,7.877,3052000000.0,93.162,1.48,1.326,0.142,0.333,0.36,1.66764,1.45873,,,0.0,0.17524,0.81581,3.58,0.0218,431128083.0,352600877.0,1.703,65.67493488310524,0.05894651664786486,0.09648218409765759,0.25652297585047895,2583579.0,43.26,20.503332,0.05062974157947301,0.08548102808577042,0.2355503811484155,0.22664358782174407,0.09160889575236358,2.0975729732758914,2.625568397918898,5.135577288785828,29000.0,1.4,0.686146
APXIF,11.99,,,,,-5.845928,,,,0.0,0.0,0.0,-0.02952,,0.0,-2.051,2901536.0,,0.004,0.004,,,-0.54,,,,,0.0,0.89238,0.05015,0.05,0.0,4832556.0,520080.0,0.028,99.99208512970009,0.5625135264512061,0.0031625976807617613,0.016519501659580476,8.0,12.04,11.2,1.9089394538772183e-08,-35.9806627653736,-36.24522387532761,-36.423829310942956,1.9089394538772183e-08,-41.601952267801686,-43.66715843775264,-43.66715843775264,,,0.007562995
SPRY,11.09,,-8.214815,,7.6781936,7.4230256,-24.636,15.496,7.6063100137174215,-0.56061,0.80459,-1.6366299,-0.19221,-0.45916,1.458,1.494,169804992.0,115.001,6.66,6.406,14.716,,-0.81,-1.35,-1.7875,,,0.0,0.16826001,0.86581004,12.95,0.338,98848611.0,105406228.0,0.739,50.9497669113784,-0.013915437516229914,0.12318583712286178,-0.13063587440079327,1999704.0,18.9,6.66,0.012785405769268105,0.04033772596087608,0.09693376623168361,-0.3956403395392324,-0.03481286153926857,0.45729300991200944,-0.7704884091464945,-0.5564,162.0,1.0,-0.032019675
ARZTF,62.68,13.279662,,,,2.6845715,9.191,1.025,20.29135642602784,0.054190002,0.20847,0.07585,0.06147,0.19405001,3.089,23.348232,807400000.0,162.782,0.654,0.412,0.03,0.129,4.72,,,,,0.0,0.06286,0.54169,,,,24651621.0,0.572,99.99966224284316,11.288991391401748,18.096947169581377,3.9903266641720343,1.0,86.8,2.07,29.280194213246883,29.280194213246883,29.280194213246883,29.280194213246883,29.280194213246883,0.567,1.1763889465435067,-0.9654123287076065,7654.0,,-0.17526317
ASA,63.48,4.5570707,,,300.84152,1.4771035,,302.591,63479.99999999999,94.30129,1.0,5.88885,-0.00088,0.60898995,0.001,42.976,0.0,,7.376,7.297,0.125,6.766,13.93,,,0.06,0.09,0.0036000002,0.03753,0.65444,0.5,0.0033000002,18872332.0,11699714.0,0.682,65.48078598246906,0.03980344305203543,0.1682260189772317,0.5777465166796736,105540.0,66.12,21.57,0.041680364793736185,0.10785341789223521,0.19263589507780518,0.9616979320886105,0.08978540772532183,2.941140716090647,2.0420407039200805,8.665066723972451,,,1.9248741
ASX,19.19,39.163265,22.871378,,0.06648011,8.330819,2.9,0.49,1.0239035321737275,0.05599,0.16846001,0.07831,0.03554,0.10858,18.742,2.3034952,285682663424.0,84.135,1.133,0.845,0.053,0.102,0.49,0.83904,0.59288,0.36,1.89,0.669,0.0,0.07682,1.46,0.0053,2181600491.0,3120991201.0,1.037,81.78220225543754,0.1489985840179159,0.22657428476465627,0.6496174675492137,7417874.0,19.665,6.94,0.10732833724653484,0.25424835037719695,0.5254372111591117,0.813799635007744,0.13819687457293953,2.084542034072537,2.4654192458963458,5.156122673500081,103844.0,1.0,0.79638445
ASGN,50.02,16.955933,10.111199,,0.5497393,1.1760834,8.721,0.808,16.88153898076274,0.0328,0.28896,0.07129,0.047059998,0.072459996,2.963,42.531,1239600000.0,67.623,1.987,1.81,-0.019,-0.179,2.95,4.94699,4.5649,,,0.0,0.03959,1.0331199,3.67,0.079,42700000.0,41104301.0,0.862,57.67698740246403,0.01722490473603641,0.07906374716859037,-0.010247754655416972,585867.0,95.29,39.25,-0.009112510824241311,0.04753926701570687,0.09285557132904575,0.010096921195765904,0.07201029068957977,-0.41951954203444974,-0.4172879527731215,0.3636859210424233,3200.0,2.71429,-0.44709438
ASCBF,11.99,24.469387,,,,-8.509581,,,1332.2222222222224,0.0,0.0,0.0,-0.088070005,,0.009,-1.409,381054.0,,0.199,0.076,,,0.49,,,,,0.0,0.93447,0.0,0.0,0.0,5243594.0,343593.0,0.01,99.96729146174692,1.9089394538772183e-08,0.0,0.02390244319006666,0.0,11.99,11.022,1.9089394538772183e-08,1.9089394538772183e-08,1.9089394538772183e-08,0.03451249716530806,1.9089394538772183e-08,0.17318979322157804,0.2147923139839866,0.2147923139839866,,,0.087824345
ASUUF,11.59,,,,,-8.225692,,,1287.7777777777778,0.0,0.0,0.0,-0.088070005,,0.009,-1.409,381054.0,,0.199,0.076,,,,,,,,,0.0,0.00064000004,0.0,,,343593.0,0.01,87.85572815823,-1.3165477891131669e-08,0.0,0.012461399363171364,0.0,11.59,10.66,-1.3165477891131669e-08,-1.3165477891131669e-08,-1.3165477891131669e-08,-1.3165477891131669e-08,-1.3165477891131669e-08,-0.06682770299479841,-0.06682770299479841,-0.06682770299479841,,,0.08724201
